group,label,env,mode,target_source,place_source,primary_metric,success_count,n,success_rate,ci_low,ci_high,failed_runs,target_available,grasp_attempted,pick_success_rate,place_attempted,place_success_rate,task_success_rate,main_failure,claim_boundary,artifact_sources
external_crop,PickCube box center,PickCube-v1,pick,box_center_depth,none,pick,4,400,0.01,0.003895483794990993,0.025426564652619582,0,1.0,1.0,0.01,0.0,0.0,0.005,grasp_not_confirmed,crop target-source diagnostic,outputs\h200_60071_exp_a_200_seed_freeze_gpu4_7_resume_20260508\pickcube_box_center_depth\benchmark_summary.json;outputs\h200_60071_ras_external_crop_seed200_399_20260509\pickcube_box_center_depth\benchmark_summary.json
external_crop,PickCube crop median,PickCube-v1,pick,crop_median,none,pick,370,400,0.925,0.8949522937386957,0.9469622560771523,0,1.0,1.0,0.925,0.0,0.0,0.005,grasp_not_confirmed,crop target-source diagnostic,outputs\h200_60071_exp_a_200_seed_freeze_gpu4_7_resume_20260508\pickcube_crop_median\benchmark_summary.json;outputs\h200_60071_ras_external_crop_seed200_399_20260509\pickcube_crop_median\benchmark_summary.json
external_crop,PickCube crop top-surface,PickCube-v1,pick,crop_top_surface,none,pick,392,400,0.98,0.96103658423074,0.9898316132083353,0,1.0,1.0,0.98,0.0,0.0,0.0025,grasp_not_confirmed,crop target-source diagnostic,outputs\h200_60071_exp_a_200_seed_freeze_gpu4_7_resume_20260508\pickcube_crop_top_surface\benchmark_summary.json;outputs\h200_60071_ras_external_crop_seed200_399_20260509\pickcube_crop_top_surface\benchmark_summary.json
external_crop,PickCube oracle,PickCube-v1,pick,oracle_object_pose,none,pick,399,400,0.9975,0.9859767149241766,0.9995585522131983,0,1.0,1.0,0.9975,0.0,0.0,0.0075,grasp_not_confirmed,privileged diagnostic upper bound,outputs\h200_60071_exp_a_200_seed_freeze_gpu4_7_resume_20260508\pickcube_oracle_object_pose\benchmark_summary.json;outputs\h200_60071_ras_external_crop_seed200_399_20260509\pickcube_oracle_object_pose\benchmark_summary.json
external_crop,StackCube pick box center,StackCube-v1,pick-only,box_center_depth,none,pick,24,400,0.06,0.0406479701137247,0.0877228489004562,2,0.995,0.995,0.06,0.0,0.0,0.0,grasp_not_confirmed,crop target-source diagnostic,outputs\h200_60071_exp_a_200_seed_freeze_v2_20260508\stackcube_pick_box_center_depth\benchmark_summary.json;outputs\h200_60071_ras_external_crop_seed200_399_20260509\stackcube_pickonly_box_center_depth\benchmark_summary.json
external_crop,StackCube pick crop median,StackCube-v1,pick-only,crop_median,none,pick,312,400,0.78,0.7368470079068086,0.8178261072659854,0,1.0,1.0,0.78,0.0,0.0,0.0,grasp_not_confirmed,crop target-source diagnostic,outputs\h200_60071_exp_a_200_seed_freeze_v2_20260508\stackcube_pick_crop_median\benchmark_summary.json;outputs\h200_60071_ras_external_crop_seed200_399_20260509\stackcube_pickonly_crop_median\benchmark_summary.json
external_crop,StackCube pick crop top-surface,StackCube-v1,pick-only,crop_top_surface,none,pick,313,400,0.7825,0.7394871744110122,0.8201383792901101,0,1.0,1.0,0.7825,0.0,0.0,0.0,grasp_not_confirmed,crop target-source diagnostic,outputs\h200_60071_exp_a_200_seed_freeze_v2_20260508\stackcube_pick_crop_top_surface\benchmark_summary.json;outputs\h200_60071_ras_external_crop_seed200_399_20260509\stackcube_pickonly_crop_top_surface\benchmark_summary.json
external_crop,StackCube pick oracle,StackCube-v1,pick-only,oracle_object_pose,none,pick,189,200,0.945,0.9042130012276914,0.9690146582965411,0,1.0,1.0,0.945,0.0,0.0,0.0,grasp_not_confirmed,privileged diagnostic upper bound,outputs\h200_60071_exp_a_200_seed_freeze_v2_20260508\stackcube_pick_oracle_object_pose\benchmark_summary.json
external_crop,StackCube pick-place box center,StackCube-v1,pick-place,box_center_depth,predicted_place_object,task,0,200,0.0,1.734723475976807e-18,0.018845326377266575,0,1.0,0.895,0.085,0.895,0.0,0.0,place_not_confirmed,non-oracle reference-place diagnostic,outputs\h200_60071_exp_a_200_seed_freeze_gpu4_7_resume_20260508\stackcube_pickplace_box_center_depth\benchmark_summary.json
external_crop,StackCube pick-place crop median,StackCube-v1,pick-place,crop_median,predicted_place_object,task,113,200,0.565,0.49570736259794607,0.6318427449730093,0,1.0,0.9,0.745,0.9,0.565,0.565,place_not_confirmed,non-oracle reference-place diagnostic,outputs\h200_60071_exp_a_200_seed_freeze_gpu4_7_resume_20260508\stackcube_pickplace_crop_median\benchmark_summary.json
external_crop,StackCube pick-place crop top-surface,StackCube-v1,pick-place,crop_top_surface,predicted_place_object,task,228,400,0.57,0.5210443194375308,0.6176239593556675,0,1.0,0.83,0.735,0.83,0.57,0.57,place_not_confirmed,non-oracle reference-place diagnostic,outputs\h200_60071_exp_a_200_seed_freeze_gpu4_7_resume_20260508\stackcube_pickplace_crop_top_surface\benchmark_summary.json;outputs\h200_60071_ras_external_crop_seed200_399_20260509\stackcube_pickplace_crop_top_surface_pred_green\benchmark_summary.json
