task,target_source,condition,n,failed_runs,target_available_rate,grasp_attempted_rate,pick_success_rate,pick_ci_low,pick_ci_high,task_success_rate,task_ci_low,task_ci_high,mean_valid_depth_pixels_after,mean_num_3d_points,main_pick_stage,run_dir
PickCube pick,box_center_depth,clean,100,0,1.0,1.0,0.01,0.0017673865655472645,0.0544875247609346,0.02,0.005501852234968178,0.07001316294199367,16384.0,248.03,grasp_not_confirmed,outputs\ras_sensor_stress_v2_20260512_lightweight\long\pickcube_box_center_depth_clean
PickCube pick,box_center_depth,depth noise 5 mm,100,0,1.0,1.0,0.08,0.04109296948581091,0.14998266879403072,0.02,0.005501852234968178,0.07001316294199367,16384.0,248.03,grasp_not_confirmed,outputs\ras_sensor_stress_v2_20260512_lightweight\long\pickcube_box_center_depth_depth5mm
PickCube pick,box_center_depth,depth noise 10 mm,100,0,1.0,1.0,0.2,0.1333659225590988,0.28883096192650237,0.02,0.005501852234968178,0.07001316294199367,16384.0,248.03,grasp_not_confirmed,outputs\ras_sensor_stress_v2_20260512_lightweight\long\pickcube_box_center_depth_depth10mm
PickCube pick,box_center_depth,depth dropout 10%,100,0,1.0,1.0,0.06,0.02778574526665662,0.12476968531222507,0.02,0.005501852234968178,0.07001316294199367,14750.83,223.25,grasp_not_confirmed,outputs\ras_sensor_stress_v2_20260512_lightweight\long\pickcube_box_center_depth_drop10
PickCube pick,box_center_depth,depth dropout 20%,100,0,1.0,1.0,0.11,0.06254131955225126,0.18631463027903022,0.02,0.005501852234968178,0.07001316294199367,13110.94,198.42,grasp_not_confirmed,outputs\ras_sensor_stress_v2_20260512_lightweight\long\pickcube_box_center_depth_drop20
PickCube pick,crop_top_surface,clean,100,0,1.0,1.0,0.99,0.9455124752390653,0.9982326134344526,0.01,0.0017673865655472645,0.0544875247609346,16384.0,248.03,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\pickcube_crop_top_surface_clean
PickCube pick,crop_top_surface,depth noise 5 mm,100,0,1.0,1.0,1.0,0.9630051925239981,0.9999999999999999,0.03,0.010254338223414816,0.08452078080402699,16384.0,248.03,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\pickcube_crop_top_surface_depth5mm
PickCube pick,crop_top_surface,depth noise 10 mm,100,0,1.0,1.0,0.97,0.915479219195973,0.9897456617765851,0.01,0.0017673865655472645,0.0544875247609346,16384.0,248.03,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\pickcube_crop_top_surface_depth10mm
PickCube pick,crop_top_surface,depth dropout 10%,100,0,1.0,1.0,0.98,0.9299868370580063,0.9944981477650318,0.01,0.0017673865655472645,0.0544875247609346,14750.83,223.25,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\pickcube_crop_top_surface_drop10
PickCube pick,crop_top_surface,depth dropout 20%,100,0,1.0,1.0,0.97,0.915479219195973,0.9897456617765851,0.01,0.0017673865655472645,0.0544875247609346,13110.94,198.42,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\pickcube_crop_top_surface_drop20
StackCube pick,box_center_depth,clean,100,0,1.0,1.0,0.08,0.04109296948581091,0.14998266879403072,0.0,0.0,0.03699480747600191,16384.0,1421.09,grasp_not_confirmed,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pick_box_center_depth_clean
StackCube pick,box_center_depth,depth noise 5 mm,100,0,1.0,1.0,0.19,0.1251465399270426,0.27779024070807856,0.0,0.0,0.03699480747600191,16384.0,1421.09,grasp_not_confirmed,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pick_box_center_depth_depth5mm
StackCube pick,box_center_depth,depth noise 10 mm,100,0,1.0,1.0,0.28,0.2013955916759837,0.37488212361345724,0.0,0.0,0.03699480747600191,16384.0,1421.09,grasp_not_confirmed,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pick_box_center_depth_depth10mm
StackCube pick,box_center_depth,depth dropout 10%,100,0,1.0,1.0,0.1,0.05522854161313613,0.1743673043676654,0.0,0.0,0.03699480747600191,14750.83,1280.34,grasp_not_confirmed,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pick_box_center_depth_drop10
StackCube pick,box_center_depth,depth dropout 20%,100,0,1.0,1.0,0.15,0.09305903191162297,0.23283733332157835,0.0,0.0,0.03699480747600191,13110.94,1137.75,grasp_not_confirmed,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pick_box_center_depth_drop20
StackCube pick,crop_top_surface,clean,100,0,1.0,1.0,0.84,0.7557955544110557,0.8990479765052628,0.0,0.0,0.03699480747600191,16384.0,1421.09,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pick_crop_top_surface_clean
StackCube pick,crop_top_surface,depth noise 5 mm,100,0,1.0,1.0,0.8,0.7111690380734977,0.8666340774409013,0.0,0.0,0.03699480747600191,16384.0,1421.09,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pick_crop_top_surface_depth5mm
StackCube pick,crop_top_surface,depth noise 10 mm,100,0,1.0,1.0,0.82,0.7333246397578691,0.8829986834574896,0.0,0.0,0.03699480747600191,16384.0,1421.09,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pick_crop_top_surface_depth10mm
StackCube pick,crop_top_surface,depth dropout 10%,100,0,1.0,1.0,0.84,0.7557955544110557,0.8990479765052628,0.0,0.0,0.03699480747600191,14750.83,1280.34,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pick_crop_top_surface_drop10
StackCube pick,crop_top_surface,depth dropout 20%,100,0,1.0,1.0,0.81,0.7222097592919214,0.8748534600729574,0.0,0.0,0.03699480747600191,13110.94,1137.75,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pick_crop_top_surface_drop20
StackCube pick-place,crop_top_surface,clean,100,0,1.0,0.82,0.76,0.6676748127670786,0.8330878873454004,0.57,0.4721521169586435,0.6626686099947162,16384.0,1421.09,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pickplace_crop_top_surface_clean
StackCube pick-place,crop_top_surface,depth noise 5 mm,100,0,1.0,0.81,0.72,0.6251178763865427,0.7986044083240164,0.6,0.5020007846184025,0.6906002538863971,16384.0,1421.09,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pickplace_crop_top_surface_depth5mm
StackCube pick-place,crop_top_surface,depth noise 10 mm,100,0,1.0,0.9,0.75,0.6569535362992417,0.8245490599627573,0.61,0.5120283616749817,0.699832780680298,16384.0,1421.09,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pickplace_crop_top_surface_depth10mm
StackCube pick-place,crop_top_surface,depth dropout 10%,100,0,1.0,0.81,0.75,0.6569535362992417,0.8245490599627573,0.59,0.4920125056109662,0.6813284290433533,14750.83,1280.34,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pickplace_crop_top_surface_drop10
StackCube pick-place,crop_top_surface,depth dropout 20%,100,0,1.0,0.81,0.72,0.6251178763865427,0.7986044083240164,0.6,0.5020007846184025,0.6906002538863971,13110.94,1137.75,success,outputs\ras_sensor_stress_v2_20260512_lightweight\long\stackcube_pickplace_crop_top_surface_drop20
