source,chunk,n,success_count,pick_success_rate,ci_low,ci_high,target_available,grasp_attempted,failed_runs,mean_num_detections,mean_num_3d_points,main_failure,stage_counts_json,path,missing
box_center_depth,000-199,200,5,0.025,0.01072471965176126,0.05717834040664198,1.0,1.0,0,1.465,2072.825,grasp_not_confirmed,"{""grasp_not_confirmed"": 195, ""success"": 5}",outputs\h200_60071_ras_sunday_queue_20260509\ycb_box_center_depth,False
box_center_depth,200-399,200,1,0.005,0.0008831687156009814,0.02777370439789293,1.0,1.0,0,1.42,2094.425,grasp_not_confirmed,"{""grasp_not_confirmed"": 199, ""success"": 1}",outputs\ras_revision_aggressive_20260511\ycb_aggregate_expansion\ycb_box_center_depth_seed200_399,False
box_center_depth,400-599,200,4,0.02,0.0078044264163494685,0.050287086905826436,1.0,1.0,0,1.455,2051.52,grasp_not_confirmed,"{""grasp_not_confirmed"": 196, ""success"": 4}",outputs\ras_revision_aggressive_20260511\ycb_aggregate_expansion\ycb_box_center_depth_seed400_599,False
box_center_depth,600-799,200,2,0.01,0.0027466581335444384,0.0357217617161768,1.0,1.0,0,1.43,2121.055,grasp_not_confirmed,"{""grasp_not_confirmed"": 198, ""success"": 2}",outputs\ras_revision_aggressive_20260511\ycb_aggregate_expansion\ycb_box_center_depth_seed600_799,False
box_center_depth,800-999,200,1,0.005,0.0008831687156009814,0.02777370439789293,1.0,1.0,0,1.41,2102.705,grasp_not_confirmed,"{""grasp_not_confirmed"": 199, ""success"": 1}",outputs\ras_revision_aggressive_20260511\ycb_aggregate_expansion\ycb_box_center_depth_seed800_999,False
box_center_depth,1000-1199,200,6,0.03,0.013820314340111346,0.06389429245451925,1.0,1.0,0,1.43,2093.025,grasp_not_confirmed,"{""grasp_not_confirmed"": 194, ""success"": 6}",outputs\ras_revision_aggressive_20260511\ycb_gpu4_extra_1000_1199\ycb_box_center_depth_seed1000_1199,False
box_center_depth,1200-1399,200,4,0.02,0.0078044264163494685,0.050287086905826436,1.0,1.0,0,1.38,2109.535,grasp_not_confirmed,"{""grasp_not_confirmed"": 196, ""success"": 4}",outputs\ras_revision_aggressive_20260511\ycb_post_main_1200_1599\ycb_box_center_depth_seed1200_1399,False
box_center_depth,1400-1599,200,2,0.01,0.0027466581335444384,0.0357217617161768,1.0,1.0,0,1.47,2108.18,grasp_not_confirmed,"{""grasp_not_confirmed"": 198, ""success"": 2}",outputs\ras_revision_aggressive_20260511\ycb_post_main_1200_1599\ycb_box_center_depth_seed1400_1599,False
crop_median,000-199,200,4,0.02,0.0078044264163494685,0.050287086905826436,1.0,1.0,0,1.465,2072.825,grasp_not_confirmed,"{""grasp_not_confirmed"": 196, ""success"": 4}",outputs\h200_60071_ras_sunday_queue_20260509\ycb_crop_median,False
crop_median,200-399,200,6,0.03,0.013820314340111346,0.06389429245451925,1.0,1.0,0,1.42,2094.425,grasp_not_confirmed,"{""grasp_not_confirmed"": 194, ""success"": 6}",outputs\ras_revision_aggressive_20260511\ycb_aggregate_expansion\ycb_crop_median_seed200_399,False
